Date,DataSource,Steps,Calories,Distance(meters),ActiveTime(seconds)
2023-01-12,苹果健康,2754.0,67.9,1811.0,0.0
2023-01-13,苹果健康,7325.0,201.2,4745.0,0.0
2023-01-14,苹果健康,10306.0,269.9,6479.0,0.0
2023-03-05,苹果健康,6036.0,0.0,0.0,0.0
2023-04-05,苹果健康,13.0,1.0,8.0,0.0
2023-05-13,苹果健康,30603.0,975.0,20895.0,0.0
2023-09-15,苹果健康,2513.0,69.7,1684.0,0.0
2023-09-16,苹果健康,7581.0,154.9,4837.0,0.0
2023-09-17,苹果健康,5101.0,109.6,3107.0,0.0
2023-09-18,苹果健康,7164.0,160.8,4449.0,0.0
2023-09-19,苹果健康,4661.0,96.6,2829.0,0.0
2023-09-20,苹果健康,4490.0,103.5,2743.0,0.0
2023-09-21,苹果健康,2997.0,70.0,1855.0,0.0
2023-09-22,苹果健康,14573.0,489.0,10320.0,0.0
2023-09-23,苹果健康,6656.0,134.4,4097.0,0.0
2023-09-24,苹果健康,4797.0,103.0,3190.0,0.0
2023-09-25,苹果健康,4263.0,92.3,2808.0,0.0
2023-09-26,苹果健康,2684.0,63.0,1737.0,0.0
2023-09-27,苹果健康,2573.0,50.8,1616.0,0.0
2023-09-28,苹果健康,9056.0,268.2,6525.0,0.0
2023-09-29,苹果健康,12421.0,289.7,7966.0,0.0
2023-09-30,苹果健康,15103.0,427.1,9647.0,0.0
2023-10-01,苹果健康,8327.0,292.5,5269.0,0.0
2023-10-02,苹果健康,30429.0,937.9,17298.0,0.0
2023-10-03,苹果健康,8941.0,248.6,5759.0,0.0
2023-10-04,苹果健康,11529.0,426.7,6763.0,0.0
2023-10-05,苹果健康,12654.0,345.8,8221.0,0.0
2023-10-06,苹果健康,4021.0,79.1,2294.0,0.0
2023-10-07,苹果健康,1441.0,28.2,894.0,0.0
2023-10-08,苹果健康,3209.0,74.5,2051.0,0.0
2023-10-09,苹果健康,8871.0,166.7,5182.0,0.0
2023-10-10,苹果健康,3942.0,78.7,2527.0,0.0
2023-10-11,苹果健康,2763.0,85.0,1685.0,0.0
2023-10-12,苹果健康,9446.0,237.4,6317.0,0.0
2023-10-13,苹果健康,2499.0,55.1,1657.0,0.0
2023-10-14,苹果健康,13225.0,320.4,8834.0,0.0
2023-10-15,苹果健康,13788.0,327.1,8935.0,0.0
2023-10-16,苹果健康,3965.0,96.9,2614.0,0.0
2023-10-17,苹果健康,3649.0,75.9,2298.0,0.0
2023-10-18,苹果健康,11271.0,288.0,7508.0,0.0
2023-10-19,苹果健康,1609.0,41.4,1044.0,0.0
2023-10-20,苹果健康,2750.0,62.2,1798.0,0.0
2023-10-21,苹果健康,6002.0,114.1,3835.0,0.0
2023-10-22,苹果健康,7230.0,167.3,4639.0,0.0
2023-10-23,苹果健康,5671.0,158.4,3747.0,0.0
2023-10-24,苹果健康,6469.0,231.9,4675.0,0.0
2023-10-25,苹果健康,14547.0,443.6,10099.0,0.0
2023-10-26,苹果健康,13980.0,496.3,10026.0,0.0
2023-10-27,苹果健康,11178.0,360.1,7912.0,0.0
2023-10-28,苹果健康,14159.0,383.5,9566.0,0.0
2023-10-29,苹果健康,14056.0,331.8,8834.0,0.0
2023-10-30,苹果健康,7450.0,267.0,5449.0,0.0
2023-10-31,苹果健康,16076.0,508.8,11089.0,0.0
2023-11-01,苹果健康,16344.0,637.1,12067.0,0.0
2023-11-02,苹果健康,18970.0,735.7,14124.0,0.0
