Time,Weight,Unit,Comments
2023-03-28 21:57:54,71.5,kg,
2023-03-30 05:57:52,70.8,kg,
2023-03-31 06:14:34,71.0,kg,
2023-04-01 07:18:43,71.2,kg,
2023-04-02 21:37:42,72.7,kg,
2023-04-03 06:22:20,71.0,kg,
2023-04-04 21:40:43,70.8,kg,
2023-04-05 06:58:21,70.5,kg,
2023-04-06 06:10:07,70.8,kg,
2023-04-07 05:58:12,71.1,kg,
2023-04-08 07:30:47,70.0,kg,
2023-04-10 06:07:32,70.0,kg,
2023-04-11 21:31:57,70.1,kg,
2023-04-12 06:03:29,69.9,kg,
2023-04-12 06:10:50,69.4,kg,
2023-04-14 06:13:39,68.6,kg,
2023-04-14 22:18:02,68.5,kg,
2023-04-16 07:33:56,67.9,kg,
2023-04-17 06:15:11,68.4,kg,
2023-04-18 06:10:33,67.7,kg,
2023-04-18 21:49:34,68.0,kg,
2023-04-19 06:09:06,67.4,kg,
2023-04-19 22:11:29,67.7,kg,
2023-04-20 06:06:58,67.1,kg,
2023-04-21 06:13:11,67.0,kg,
2023-04-24 06:15:07,66.9,kg,
2023-04-24 22:08:49,67.0,kg,
2023-04-25 06:24:59,66.6,kg,
2023-04-26 06:08:39,66.1,kg,
2023-04-26 23:09:42,66.1,kg,
2023-04-27 06:07:04,65.8,kg,
2023-04-27 21:19:35,65.8,kg,
2023-04-28 06:03:36,65.8,kg,
2023-04-28 06:13:03,65.5,kg,
2023-05-03 22:39:40,67.9,kg,
2023-05-04 06:20:57,67.1,kg,
2023-05-04 21:56:23,67.5,kg,
2023-05-04 21:56:49,67.5,kg,
2023-05-05 06:17:02,66.8,kg,
2023-05-05 22:40:13,67.3,kg,
2023-05-06 06:19:15,66.8,kg,
2023-05-06 06:19:44,66.8,kg,
2023-05-07 21:58:05,69.5,kg,
2023-05-08 06:16:34,67.9,kg,
2023-05-09 06:15:05,67.2,kg,
2023-05-09 22:15:37,67.3,kg,
2023-05-10 06:14:08,66.4,kg,
2023-05-10 21:57:36,66.6,kg,
2023-05-10 21:58:27,66.6,kg,
2023-05-11 06:13:51,65.9,kg,
2023-05-11 22:17:35,65.7,kg,
2023-05-12 06:19:19,65.2,kg,
2023-05-15 17:00:52,66.7,kg,
2023-05-15 21:34:47,67.7,kg,
2023-05-16 06:12:54,66.5,kg,
2023-05-17 06:15:12,66.8,kg,
2023-05-17 21:27:10,66.1,kg,
2023-05-18 06:14:42,65.4,kg,
2023-05-18 21:56:40,65.8,kg,
2023-05-19 06:20:26,65.0,kg,
2023-05-20 06:30:49,65.8,kg,
2023-05-21 22:59:44,67.2,kg,
2023-05-22 06:20:17,66.4,kg,
2023-05-23 06:18:35,66.2,kg,
2023-05-24 21:55:06,65.5,kg,
2023-05-25 06:18:48,65.2,kg,
2023-05-25 06:19:17,64.8,kg,
2023-05-26 06:12:47,65.2,kg,
2023-05-29 21:52:41,66.6,kg,
2023-05-30 06:17:38,65.7,kg,
2023-05-30 22:41:28,66.3,kg,
2023-05-31 06:16:23,65.7,kg,
2023-06-01 06:14:42,66.7,kg,
2023-06-02 06:11:55,66.1,kg,
2023-06-08 06:15:44,65.9,kg,
2023-06-09 06:12:00,65.5,kg,
2023-07-03 22:12:32,68.1,kg,
2023-07-04 06:18:42,66.8,kg,
2023-07-04 22:01:52,67.1,kg,
2023-07-05 06:21:20,66.1,kg,
2023-07-05 22:13:02,66.9,kg,
2023-07-06 06:28:30,65.9,kg,
2023-07-06 22:05:02,66.7,kg,
2023-07-07 06:03:43,66.1,kg,
2023-07-10 06:11:42,67.0,kg,
2023-07-10 22:02:39,66.5,kg,
2023-07-11 06:09:54,65.8,kg,
2023-07-12 06:16:22,66.0,kg,
2023-07-13 06:22:11,66.1,kg,
2023-07-14 06:25:14,66.1,kg,
2023-07-17 06:24:47,67.1,kg,
2023-07-18 06:18:04,66.4,kg,
2023-07-18 22:45:59,67.1,kg,
2023-07-19 06:20:17,65.6,kg,
2023-07-19 22:35:06,67.0,kg,
2023-07-20 06:25:41,66.2,kg,
2023-07-21 06:21:26,66.7,kg,
2023-07-24 06:08:30,66.3,kg,
2023-07-26 06:25:33,66.1,kg,
2023-07-27 06:16:01,66.4,kg,
2023-07-28 06:10:15,65.9,kg,
2023-07-31 06:14:12,67.9,kg,
2023-08-01 06:16:38,67.7,kg,
2023-08-02 06:15:48,67.5,kg,
2023-10-30 21:21:00,73.8,kg,
2023-10-30 21:22:00,73.8,kg,
2023-10-30 21:37:00,73.8,kg,
2023-10-30 21:52:00,73.4,kg,
2023-10-31 06:20:00,72.7,kg,
2023-10-31 16:42:00,72.8,kg,
2023-10-31 22:34:00,73.7,kg,
2023-11-01 06:16:00,72.8,kg,
2023-11-01 19:08:00,72.9,kg,
2023-11-01 20:39:00,72.5,kg,
2023-11-02 05:55:00,72.1,kg,
2023-11-02 20:56:00,72.6,kg,
2023-11-03 06:04:00,72.5,kg,
2023-11-03 06:17:00,72.1,kg,
2023-11-04 06:40:00,71.6,kg,
2023-11-05 21:49:00,72.4,kg,
2023-11-06 06:06:00,72.1,kg,
2023-11-06 06:20:00,71.6,kg,
2023-11-06 21:49:00,72.1,kg,
2023-11-07 06:15:00,71.4,kg,
2023-11-07 06:16:00,71.4,kg,
2023-11-07 20:01:00,71.8,kg,
2023-11-08 06:03:00,71.6,kg,
2023-11-08 06:14:00,71.0,kg,
2023-11-08 06:19:00,70.9,kg,
2023-11-08 21:11:00,71.4,kg,
2023-11-09 06:16:00,70.8,kg,
2023-11-09 06:17:00,70.8,kg,
2023-11-10 06:02:00,71.5,kg,
2023-11-10 06:15:00,70.8,kg,
2023-11-11 09:20:00,71.1,kg,
2023-11-13 06:16:00,71.8,kg,
2023-11-13 21:23:00,72.4,kg,
2023-11-13 21:25:00,72.3,kg,
2023-11-14 06:06:00,71.7,kg,
2023-11-14 06:13:00,71.5,kg,
2023-11-14 21:34:00,72.3,kg,
2023-11-15 06:15:00,71.1,kg,
2023-11-17 06:14:00,71.6,kg,
2023-11-21 06:18:00,71.4,kg,
2023-11-28 06:23:00,72.3,kg,
2023-11-29 06:15:00,71.8,kg,
2023-11-30 06:13:00,71.6,kg,
2023-12-01 06:18:00,72.4,kg,
2023-12-03 06:44:00,71.6,kg,
2023-12-03 06:52:00,71.6,kg,
2023-12-04 06:18:00,71.5,kg,
2023-12-04 22:02:00,71.2,kg,
2023-12-04 22:03:00,71.2,kg,
2023-12-05 06:07:00,70.9,kg,
2023-12-05 06:08:00,70.9,kg,
2023-12-05 06:16:00,70.4,kg,
2023-12-05 21:41:00,71.5,kg,
2023-12-05 22:40:00,70.7,kg,
2023-12-06 22:23:00,71.2,kg,
2023-12-07 06:08:00,70.3,kg,
2023-12-07 06:20:00,69.8,kg,
2023-12-07 22:05:00,71.0,kg,
2023-12-11 06:08:00,69.3,kg,
2023-12-11 22:24:00,69.8,kg,
2023-12-12 06:15:00,69.2,kg,
2023-12-12 22:58:00,69.5,kg,
2023-12-13 06:08:00,69.2,kg,
2023-12-13 06:18:00,69.0,kg,
2023-12-14 06:07:00,70.0,kg,
2023-12-14 06:19:00,69.4,kg,
2023-12-15 06:17:00,69.8,kg,
2023-12-20 06:08:00,69.0,kg,
2023-12-21 06:15:00,68.5,kg,
2023-12-25 06:25:00,69.0,kg,
2023-12-25 21:41:00,68.9,kg,
2023-12-26 06:17:00,68.2,kg,
2023-12-26 21:39:00,68.4,kg,
2023-12-27 06:17:00,67.6,kg,
2023-12-28 06:16:00,67.3,kg,
2024-01-06 08:34:00,67.2,kg,
2024-01-06 09:09:00,67.0,kg,
2024-02-18 06:10:00,69.9,kg,
2024-04-16 05:56:00,69.6,kg,
2024-04-16 21:08:00,69.5,kg,
2024-04-17 06:20:00,68.3,kg,
2024-04-25 21:56:00,70.3,kg,
2024-06-11 21:22:18,70.9,kg,
2024-06-11 22:52:18,70.9,kg,
2024-06-12 06:05:18,70.8,kg,
2024-06-12 06:17:18,70.3,kg,
2024-06-12 20:32:34,70.5,kg,
2024-06-13 05:46:34,70.2,kg,
2024-06-13 06:09:34,69.9,kg,
2024-06-13 06:10:34,69.9,kg,
2024-07-01 20:50:22,70.9,kg,
2024-07-01 20:51:22,70.9,kg,
2024-07-02 05:46:22,70.8,kg,
2024-07-02 06:05:44,70.4,kg,
2024-07-03 20:59:47,71.5,kg,
2024-07-04 06:04:47,70.5,kg,
2024-07-08 21:41:02,70.3,kg,
2024-07-09 06:15:02,70.1,kg,
2024-07-09 20:37:21,72.0,kg,
2024-07-09 23:43:21,71.2,kg,
2024-07-10 06:15:21,70.8,kg,
2024-07-11 06:13:49,71.0,kg,
2024-07-18 06:11:01,69.2,kg,
2024-07-21 21:17:08,71.0,kg,
2024-07-22 06:18:29,70.1,kg,
2024-07-22 06:22:29,70.3,kg,
2024-07-22 22:45:29,72.0,kg,
2024-07-24 06:22:14,71.5,kg,
2024-07-25 05:57:14,69.8,kg,
2024-07-29 21:03:07,69.9,kg,
2024-07-30 06:13:07,69.4,kg,
2024-07-31 06:22:42,69.7,kg,
2024-08-07 06:21:22,71.1,kg,
2024-08-08 06:23:19,71.4,kg,
2024-09-09 07:09:18,69.1,kg,
2024-09-09 08:53:42,70.7,kg,
2024-09-11 07:22:45,70.6,kg,
2024-09-13 07:23:07,70.3,kg,
2025-01-03 13:21:28,70.0,kg,
